Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2017-03-11,Sat,15:00 ,Příbram,Hradec Králové,1,0,Energon Aréna,Pavel Královec
2017-03-11,Sat,15:00 ,Fastav Zlín,Slovácko,1,1,Stadion Letná,Jan Jilek
2017-03-11,Sat,15:00 ,Vysočina Jihlava,Karviná,2,4,Stadion v Jiráskově ulici,Pavel Franek
2017-03-11,Sat,15:00 ,Dukla Prague,Jablonec,1,0,Stadion Juliska,Milan Matejcek
2017-03-11,Sat,15:30 ,Zbrojovka Brno,Bohemians 1905,0,0,Městský fotbalový stadion Srbská,Ondřej Pechanec
2017-03-11,Sat,17:45 ,Viktoria Plzeň,Slovan Liberec,1,0,Doosan Arena,J. Machálek
2017-03-12,Sun,15:30 ,Mladá Boleslav,Sparta Prague,1,0,Adidas Aréna,Pavel Orel
2017-03-14,Tue,17:00 ,Jablonec,Hradec Králové,2,1,Stadion Střelnice,Pavel Královec
2017-03-15,Wed,17:00 ,Bohemians 1905,Viktoria Plzeň,0,1,Stadion Ďolíček,Radek Příhoda
2017-03-17,Fri,20:15 ,Sparta Prague,Fastav Zlín,0,0,Generali Arena,Radek Příhoda
2017-03-18,Sat,16:30 ,Slovan Liberec,Slavia Prague,1,1,Stadion u Nisy,Petr Ardeleánu
2017-03-18,Sat,20:15 ,Slovácko,Mladá Boleslav,2,1,Městský fotbalový stadion Miroslava Vale...,Paval Julínek
2017-03-19,Sun,15:00 ,Hradec Králové,Zbrojovka Brno,0,0,Všesportovní stadion,Zbyněk Proske
2017-03-19,Sun,15:00 ,Jablonec,Vysočina Jihlava,5,0,Stadion Střelnice,Radek Dubravsky
2017-03-19,Sun,16:30 ,Karviná,Viktoria Plzeň,2,3,Městský stadion,Miroslav Zelinka
2017-03-19,Sun,17:00 ,Bohemians 1905,Dukla Prague,1,2,Stadion Ďolíček,Pavel Franek
2017-03-31,Fri,20:15 ,Mladá Boleslav,Jablonec,0,0,Adidas Aréna,Miroslav Zelinka
