player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Martin Koscelník,sk SVK,MF,Slovan Liberec,25-317,1995,11,9,826,0,1,0,0,0,0,0.00,0.11,0.11,0.00,0.11
Tomáš Koschatzký,cz CZE,DF,Opava,20-227,2000,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daniel Kosek,cz CZE,DF,Slovan Liberec,19-239,2001,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daniel Köstl,cz CZE,DF,Bohemians 1905,22-235,1998,8,7,633,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Juraj Kotula,sk SVK,DF,Zbrojovka Brno,25-105,1995,7,6,539,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marek Kouba,cz CZE,GK,Bohemians 1905,22-073,1998,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Koudelka,cz CZE,MF,Zbrojovka Brno,28-307,1992,7,1,198,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daniel Kovac,cz CZE,MF,Teplice,20-316,2000,3,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Kovařík,cz CZE,MF,Viktoria Plzeň,32-208,1988,11,5,491,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Libor Kozák,cz CZE,FW,Sparta Prague,31-228,1989,5,0,90,2,0,0,0,0,0,2.00,0.00,2.00,2.00,2.00
Matyas Kozak,cz CZE,FW,Teplice,19-254,2001,2,0,13,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Martin Králik,sk SVK,DF,České Budĕjov.,25-285,1995,12,12,"1,080",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
