Game Week,Weekday,Date,Time,Home Team,Score,Away Team,Attendance,Venue,Referee,Match Report,Notes
23,Fri,2016-04-01,20:15 ,Sigma Olomouc,6–2,Baník Ostrava,"5,317",Andrův stadion,Pavel Královec,Match Report,
23,Sat,2016-04-02,17:00 ,Jablonec,3–1,Fastav Zlín,"2,210",Stadion Střelnice,Karel Hrubes,Match Report,
23,Sat,2016-04-02,17:00 ,Příbram,2–3,Mladá Boleslav,"1,966",Energon Aréna,Jan Jilek,Match Report,
23,Sat,2016-04-02,17:00 ,Teplice,0–1,Zbrojovka Brno,"4,056",Na Stínadlech,Radek Příhoda,Match Report,
23,Sat,2016-04-02,17:00 ,Bohemians 1905,0–1,Slovan Liberec,"4,923",Stadion Ďolíček,Michal Paták,Match Report,
23,Sat,2016-04-02,17:00 ,Slovácko,2–0,Sparta Prague,"7,765",Městský fotbalový stadion Miroslava Vale...,Martin Nenadál,Match Report,
23,Sat,2016-04-02,20:15 ,Viktoria Plzeň,2–0,Vysočina Jihlava,"10,772",Doosan Arena,Jiri Jech,Match Report,
23,Sun,2016-04-03,15:00 ,Dukla Prague,0–1,Slavia Prague,"7,753",Stadion Juliska,Zbyněk Proske,Match Report,
,,,,,,,,,,,
24,Fri,2016-04-08,20:15 ,Zbrojovka Brno,2–1,Bohemians 1905,"4,022",Městský fotbalový stadion Srbská,Martin Nenadál,Match Report,
24,Sat,2016-04-09,17:00 ,Vysočina Jihlava,2–1,Teplice,"2,873",Stadion v Jiráskově ulici,Pavel Královec,Match Report,
24,Sat,2016-04-09,17:00 ,Baník Ostrava,2–1,Slovácko,"3,711",Bazaly,Karel Hrubes,Match Report,
24,Sat,2016-04-09,17:00 ,Slovan Liberec,2–1,Sigma Olomouc,"3,398",Stadion u Nisy,Petr Ardeleánu,Match Report,
24,Sat,2016-04-09,17:00 ,Slavia Prague,0–0,Jablonec,"8,085",Sinobo Stadium,Jan Jilek,Match Report,
24,Sat,2016-04-09,18:00 ,Mladá Boleslav,2–2,Dukla Prague,"2,564",Adidas Aréna,Jiri Jech,Match Report,
